Brand,Count
gucci,90
louis vuitton,24
yves saint laurent,20
nike,15
chanel,10
prada,8
dior,3
supreme,2
balenciaga,2
jordan,2
versace,1
adidas,1
bape,1
fendi,1
ferragamo,1
palace,0
gosha rubchinskiy,0
acne,0
helmut lang,0
cav empt,0
vetements,0
mcm,0
y3,0
montclair,0
dolce und gabbana,0
armani,0
