Brand,Count
gucci,197
balenciaga,40
nike,34
chanel,27
louis vuitton,26
versace,12
jordan,10
dior,8
prada,6
fendi,6
yves saint laurent,5
dolce und gabbana,5
vetements,4
adidas,4
palace,3
bape,3
supreme,2
gosha rubchinskiy,0
acne,0
helmut lang,0
cav empt,0
mcm,0
y3,0
montclair,0
ferragamo,0
armani,0
