Brand,Count
ferragamo,60
prada,33
louis vuitton,24
gucci,18
yves saint laurent,13
fendi,13
chanel,12
jordan,6
balenciaga,5
palace,4
versace,4
dior,4
nike,3
helmut lang,2
supreme,1
gosha rubchinskiy,0
acne,0
cav empt,0
vetements,0
adidas,0
bape,0
mcm,0
y3,0
montclair,0
dolce und gabbana,0
armani,0
