Brand,Count
louis vuitton,45
gucci,40
versace,27
jordan,23
prada,19
fendi,10
armani,9
nike,6
mcm,5
ferragamo,4
palace,2
yves saint laurent,1
chanel,1
dior,1
adidas,1
supreme,0
gosha rubchinskiy,0
acne,0
helmut lang,0
cav empt,0
vetements,0
balenciaga,0
bape,0
y3,0
montclair,0
dolce und gabbana,0
