Brand,Count
jordan,3
louis vuitton,1
supreme,0
palace,0
yves saint laurent,0
chanel,0
gosha rubchinskiy,0
gucci,0
acne,0
versace,0
dior,0
helmut lang,0
cav empt,0
vetements,0
nike,0
prada,0
adidas,0
balenciaga,0
bape,0
mcm,0
y3,0
fendi,0
montclair,0
ferragamo,0
dolce und gabbana,0
armani,0
