Brand,Count
jordan,19
gucci,16
ferragamo,14
armani,14
louis vuitton,13
prada,6
versace,5
nike,5
fendi,5
supreme,3
chanel,2
dior,2
adidas,2
palace,1
yves saint laurent,1
gosha rubchinskiy,1
acne,1
balenciaga,1
helmut lang,0
cav empt,0
vetements,0
bape,0
mcm,0
y3,0
montclair,0
dolce und gabbana,0
