Migos,Juug-season,2011
Migos,No-label,2012
Migos,Young-rich-niggas,2013
Migos,No-label-ii,2014
Migos,Rich-nigga-timeline,2014
Migos,Yung-rich-nation,2015
Migos,Back-to-the-bando,2015
Migos,Yrn-2-young-rich-niggas-2,2016
Migos,3-way-ep,2016
Migos,Culture,2017
Migos,Culture-ii,2018
Migos,Culture-iii,2021
,,
,,
