Brand,Count
gucci,39
y3,39
louis vuitton,22
adidas,22
yves saint laurent,10
jordan,9
fendi,5
nike,3
armani,2
supreme,1
chanel,1
dior,1
balenciaga,1
palace,0
gosha rubchinskiy,0
acne,0
versace,0
helmut lang,0
cav empt,0
vetements,0
prada,0
bape,0
mcm,0
montclair,0
ferragamo,0
dolce und gabbana,0
