Brand,Count
gucci,10
louis vuitton,6
prada,5
nike,2
versace,1
dior,1
bape,1
jordan,1
fendi,1
armani,1
supreme,0
palace,0
yves saint laurent,0
chanel,0
gosha rubchinskiy,0
acne,0
helmut lang,0
cav empt,0
vetements,0
adidas,0
balenciaga,0
mcm,0
y3,0
montclair,0
ferragamo,0
dolce und gabbana,0
