Brand,Count
louis vuitton,85
gucci,81
ferragamo,19
jordan,18
versace,13
prada,13
fendi,8
armani,7
nike,6
dior,3
adidas,3
supreme,2
chanel,2
mcm,1
palace,0
yves saint laurent,0
gosha rubchinskiy,0
acne,0
helmut lang,0
cav empt,0
vetements,0
balenciaga,0
bape,0
y3,0
montclair,0
dolce und gabbana,0
