Brand,Count
gucci,88
versace,33
louis vuitton,27
armani,13
fendi,9
jordan,8
ferragamo,7
prada,6
supreme,5
yves saint laurent,3
mcm,2
dolce und gabbana,2
dior,1
nike,1
palace,0
chanel,0
gosha rubchinskiy,0
acne,0
helmut lang,0
cav empt,0
vetements,0
adidas,0
balenciaga,0
bape,0
y3,0
montclair,0
